symbol,name,price,volume_24h,market_cap,change_pct_24h,tradable
PONKE,Ponke,0.243612,12600803.0,133873700.0,2.646908,True
MOVR,Moonriver,13.68,4799018.0,128416558.0,2.970985,True
ALICE,MyNeighborAlice,1.39,18046969.0,128163400.0,4.731107,True
CELR,Celer Network,0.022705,13995125.0,128140638.0,8.619798,True
ACA,Acala,0.109207,14971757.0,127405517.0,1.869388,True
KNC,Kyber Network Crystal,0.737087,13465713.0,125407770.0,3.304405,True
TRU,TrueFi,0.097646,20357874.0,123086876.0,3.779112,True
UST,TerraClassicUSD,0.021842,7236468.0,121425826.0,4.015017,True
AUCTION,Bounce,18.39,38330412.0,121083722.0,6.233358,True
BOBA,Boba Network,0.279696,3574502.0,119642312.0,2.495447,True
NTRN,Neutron,0.410524,5492090.0,116877421.0,5.892174,True
BNT,Bancor,0.958738,476737.0,113444866.0,4.916172,True
BADGER,Badger DAO,5.61,29466186.0,111768181.0,-0.874248,True
HFT,Hashflow,0.219615,21363464.0,110752760.0,4.460762,True
EUL,Euler,5.81,1706292.0,108464117.0,9.255301,True
OMNI,Omni,10.33,27535095.0,107230751.0,2.811969,True
RARE,SuperRare,0.128115,16349280.0,102212668.0,2.095036,True
TOKEN,TokenFi,0.052782,8906670.0,101544174.0,5.862955,True
STG,Stargate Finance,0.491411,22248088.0,100376292.0,3.456317,True
