datetime,open,high,low,close,volume,average,barCount,symbol,interval
2023-04-13 00:00:00+00:00,215.73,221.15,215.69,220.35,17292321.0,219.143,78487,META,1d
2023-04-14 00:00:00+00:00,217.88,222.11,217.55,221.49,15938941.0,220.108,74002,META,1d
2023-04-17 00:00:00+00:00,219.79,220.98,217.13,218.86,9894723.0,219.048,52600,META,1d
2023-04-18 00:00:00+00:00,219.91,220.44,216.21,217.89,8082843.0,217.961,44925,META,1d
2023-04-19 00:00:00+00:00,213.45,217.33,212.93,215.7,10255311.0,215.543,59076,META,1d
2023-04-20 00:00:00+00:00,213.49,216.75,212.77,213.07,9542103.0,214.659,52735,META,1d
2023-04-21 00:00:00+00:00,210.21,213.41,209.58,212.89,10987569.0,211.859,55350,META,1d
2023-04-24 00:00:00+00:00,213.59,213.92,210.71,212.79,9187211.0,212.454,47564,META,1d
2023-04-25 00:00:00+00:00,210.85,211.26,207.13,207.55,11721634.0,209.107,58613,META,1d
2023-04-26 00:00:00+00:00,212.5,214.11,208.88,209.4,20747485.0,211.092,97499,META,1d
2023-04-27 00:00:00+00:00,239.97,241.69,236.77,238.56,48576898.0,239.547,220852,META,1d
2023-04-28 00:00:00+00:00,239.01,240.43,235.75,240.32,27160003.0,238.282,135035,META,1d
2023-05-01 00:00:00+00:00,238.53,244.0,236.46,243.18,21477803.0,240.192,90500,META,1d
2023-05-02 00:00:00+00:00,243.09,244.92,238.99,239.24,15052855.0,241.012,72503,META,1d
2023-05-03 00:00:00+00:00,239.62,241.75,232.75,237.03,24808455.0,238.001,115993,META,1d
2023-05-04 00:00:00+00:00,236.46,238.2,232.92,233.52,12057220.0,235.832,63906,META,1d
2023-05-05 00:00:00+00:00,232.15,234.68,229.85,232.78,18608215.0,231.829,91556,META,1d
2023-05-08 00:00:00+00:00,231.42,235.62,230.27,233.27,10478667.0,232.869,50615,META,1d
2023-05-09 00:00:00+00:00,231.46,235.88,231.08,233.37,11590228.0,233.845,52283,META,1d
2023-05-10 00:00:00+00:00,236.17,236.75,230.72,233.08,12481467.0,233.552,62751,META,1d
2023-05-11 00:00:00+00:00,233.05,238.21,232.3,235.79,13001166.0,236.63,63054,META,1d
2023-05-12 00:00:00+00:00,236.74,236.96,231.45,233.81,10071642.0,233.805,56595,META,1d
2023-05-15 00:00:00+00:00,236.87,240.26,235.33,238.86,14104389.0,238.235,61328,META,1d
2023-05-16 00:00:00+00:00,235.79,239.64,235.52,238.82,11689080.0,237.966,57199,META,1d
2023-05-17 00:00:00+00:00,238.45,243.85,238.14,242.49,14708031.0,241.473,68990,META,1d
2023-05-18 00:00:00+00:00,241.28,247.09,241.19,246.85,15212374.0,243.881,76024,META,1d
2023-05-19 00:00:00+00:00,247.08,248.69,243.41,245.64,14067118.0,245.447,72468,META,1d
2023-05-22 00:00:00+00:00,245.42,253.57,245.12,248.32,18710749.0,250.371,82439,META,1d
2023-05-23 00:00:00+00:00,246.81,251.61,246.65,246.74,11639488.0,248.83,56100,META,1d
2023-05-24 00:00:00+00:00,244.99,249.59,244.95,249.21,11247854.0,247.224,54243,META,1d
2023-05-25 00:00:00+00:00,253.17,255.62,249.17,252.69,13801478.0,252.95,70178,META,1d
2023-05-26 00:00:00+00:00,252.88,262.32,252.71,262.04,16211233.0,258.799,83359,META,1d
2023-05-30 00:00:00+00:00,265.18,268.65,261.29,262.52,14521984.0,264.821,75078,META,1d
2023-05-31 00:00:00+00:00,260.0,265.0,258.45,264.72,11222114.0,262.672,62384,META,1d
2023-06-01 00:00:00+00:00,266.67,274.0,265.89,272.61,16648350.0,270.846,85463,META,1d
2023-06-02 00:00:00+00:00,272.7,275.35,271.12,272.61,12326380.0,273.297,62299,META,1d
2023-06-05 00:00:00+00:00,270.51,275.57,269.56,271.39,14128549.0,272.649,63113,META,1d
2023-06-06 00:00:00+00:00,270.09,276.57,269.69,271.12,13373912.0,273.649,66091,META,1d
2023-06-07 00:00:00+00:00,271.57,274.25,262.8,263.6,15039905.0,268.68,88399,META,1d
2023-06-08 00:00:00+00:00,260.89,267.65,258.88,264.58,14046964.0,264.327,65760,META,1d
2023-06-09 00:00:00+00:00,262.48,267.95,261.7,264.95,10926800.0,265.112,56611,META,1d
2023-06-12 00:00:00+00:00,267.01,271.75,265.33,271.05,9643198.0,269.004,50020,META,1d
2023-06-13 00:00:00+00:00,274.88,275.72,269.09,271.32,10257534.0,272.054,53691,META,1d
2023-06-14 00:00:00+00:00,271.51,274.99,268.31,273.35,10279133.0,272.286,54197,META,1d
2023-06-15 00:00:00+00:00,272.16,283.99,271.42,281.83,15243791.0,279.017,80876,META,1d
2023-06-16 00:00:00+00:00,284.29,287.85,280.13,281.0,21741680.0,283.912,98969,META,1d
2023-06-20 00:00:00+00:00,278.68,284.8,276.22,284.33,11656691.0,281.181,60677,META,1d
2023-06-21 00:00:00+00:00,283.5,284.0,278.36,281.64,10354763.0,280.968,54714,META,1d
2023-06-22 00:00:00+00:00,278.89,285.26,277.79,284.88,11459304.0,281.465,61099,META,1d
2023-06-23 00:00:00+00:00,281.51,289.67,278.95,288.73,17102457.0,285.451,90877,META,1d
2023-06-26 00:00:00+00:00,288.71,289.79,277.6,278.47,15652889.0,282.969,82246,META,1d
2023-06-27 00:00:00+00:00,282.01,289.35,280.65,287.05,17377549.0,285.406,89485,META,1d
2023-06-28 00:00:00+00:00,284.81,289.55,284.06,285.29,10789161.0,286.251,56350,META,1d
2023-06-29 00:00:00+00:00,284.5,286.57,280.69,281.53,9512764.0,282.997,51765,META,1d
2023-06-30 00:00:00+00:00,284.8,289.05,284.41,286.98,11227189.0,287.203,64836,META,1d
2023-07-03 00:00:00+00:00,286.51,289.4,284.84,286.02,5820367.0,286.695,32503,META,1d
2023-07-05 00:00:00+00:00,287.52,298.12,286.36,294.37,24811914.0,294.773,114314,META,1d
2023-07-06 00:00:00+00:00,295.94,298.12,291.31,291.99,34676181.0,294.465,154460,META,1d
2023-07-07 00:00:00+00:00,292.18,296.2,288.66,290.53,18014323.0,292.072,84096,META,1d
2023-07-10 00:00:00+00:00,295.5,298.13,287.05,294.1,25721356.0,292.438,114367,META,1d
2023-07-11 00:00:00+00:00,293.9,300.16,291.9,298.29,19724431.0,296.623,93911,META,1d
2023-07-12 00:00:00+00:00,301.75,309.45,300.1,309.34,25369759.0,306.332,125371,META,1d
2023-07-13 00:00:00+00:00,313.62,316.24,310.29,313.41,20772100.0,313.669,100946,META,1d
2023-07-14 00:00:00+00:00,311.69,314.88,307.36,308.87,15250679.0,311.634,77945,META,1d
2023-07-17 00:00:00+00:00,307.54,311.71,304.71,310.62,16523112.0,307.991,88172,META,1d
2023-07-18 00:00:00+00:00,310.75,314.2,307.61,312.05,13136411.0,310.836,71067,META,1d
2023-07-19 00:00:00+00:00,312.87,318.68,310.52,316.01,13849416.0,315.11,72895,META,1d
2023-07-20 00:00:00+00:00,313.5,315.54,302.22,302.52,14548644.0,307.459,82464,META,1d
2023-07-21 00:00:00+00:00,304.57,305.46,291.2,294.26,20574548.0,296.698,108467,META,1d
2023-07-24 00:00:00+00:00,295.84,297.52,288.3,291.61,14949302.0,291.979,79028,META,1d
2023-07-25 00:00:00+00:00,295.19,298.3,291.86,294.47,11159497.0,294.579,58910,META,1d
2023-07-26 00:00:00+00:00,301.06,301.77,291.9,298.57,22109863.0,297.857,116895,META,1d
2023-07-27 00:00:00+00:00,325.12,325.35,309.84,311.71,45115205.0,318.272,219390,META,1d
2023-07-28 00:00:00+00:00,316.98,326.14,314.24,325.48,27234455.0,322.639,136977,META,1d
